,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
185,0.1,370371,0.27,3.26,0.0358,0.0017,88.3183,0.0,0
186,0.1,372373,0.13,3.16,0.0321,0.0014,94.4059,0.0,0
187,0.1,374375,0.19,3.19,0.013999999999999999,0.005,77.4444,0.0,0
188,0.1,376377,0.09,3.21,0.0313,0.0048,77.5422,0.0,0
189,0.1,378379,0.06,3.31,0.0088,0.0041,88.0293,0.0,0
190,0.1,380381,0.11,3.25,0.0202,0.0024,83.84299999999999,0.0,0
191,0.1,382383,0.08,3.27,0.0148,0.0016,67.107,0.0,0
192,0.1,384385,0.19,3.0,0.0541,0.0048,89.8839,0.0,0
193,0.1,386387,0.18,3.27,0.0291,0.0041,79.3366,0.0,0
194,0.1,388389,0.08,3.3,0.0107,0.0029,77.6126,0.0,0
195,0.1,390391,-0.03,3.29,0.0725,0.0035,63.6179,0.0,0
196,0.1,392393,0.1,3.08,0.0265,0.0035,70.6694,0.0,0
197,0.1,394395,0.03,3.3,0.0342,0.0043,70.2884,0.0,0
198,0.1,396397,0.19,3.15,0.0024,0.0024,80.1963,0.0,0
199,0.1,398399,0.21,2.86,0.0179,0.0046,79.5067,0.0,0
200,0.1,400401,0.1,3.24,0.027000000000000003,0.0037,81.7917,0.0,0
201,0.1,402403,0.29,3.08,0.0021,0.0026,63.8393,0.0,0
202,0.1,404405,-0.02,3.32,0.0031,0.0026,67.62100000000001,0.0,0
203,0.1,406407,-0.04,3.09,0.0227,0.005,81.0951,0.0,0
204,0.1,408409,0.07,3.04,0.0248,0.0055,84.5461,0.0,0
205,0.1,410411,0.26,2.96,0.0121,0.002,76.7027,0.0,0
206,0.1,412413,0.09,3.03,0.0143,0.0031,76.1606,0.0,0
207,0.1,414415,0.24,3.35,0.0055,0.0038,75.6021,0.0,0
208,0.1,416417,0.1,3.33,0.0174,0.0036,68.053,0.0,0
209,0.1,418419,0.07,3.34,0.0235,0.0011,79.1897,0.0,0
210,0.1,420421,0.16,3.38,0.0685,0.002,68.5501,0.0,0
211,0.1,422423,0.1,3.02,0.0509,0.004,96.5941,0.0,0
212,0.1,424425,-0.03,3.17,0.0241,0.0031,67.4685,0.0,0
213,0.1,426427,-0.01,3.22,0.0042,0.0006,70.0803,0.0,0
214,0.1,428429,0.17,3.2,0.0341,0.0035,85.1764,0.0,0
215,0.1,430431,0.0,3.17,0.0292,0.0013,78.4656,0.0,0
216,0.1,432433,0.1,3.08,0.0064,0.0005,85.9982,0.0,0
217,0.1,434435,0.1,3.23,0.0328,0.004,70.4729,0.0,0
218,0.1,436437,0.22,3.31,0.0046,0.0032,64.7262,0.0,0
219,0.1,438439,0.14,3.34,0.0221,0.0032,69.4768,0.0,0
220,0.1,440441,0.22,3.19,0.0557,0.0028,78.7367,0.0,0
221,0.1,442443,0.09,3.09,0.0122,0.0035,78.171,0.0,0
222,0.1,444445,0.2,3.32,0.0051,0.0024,71.7547,0.0,0
223,0.1,446447,0.07,3.34,0.0063,0.0008,85.9855,0.0,0
224,0.1,448449,0.14,3.21,0.0441,0.0052,64.8909,0.0,0
225,0.1,450451,0.08,3.16,0.012,0.0033,67.9317,0.0,0
226,0.1,452453,0.07,3.28,0.011000000000000001,0.002,72.8431,0.0,0
227,0.1,454455,0.14,3.12,0.0293,0.0038,90.8582,0.0,0
228,0.1,456457,0.1,3.08,0.0239,0.0022,85.7541,0.0,0
229,0.1,458459,0.21,3.2,0.0074,0.0069,79.3153,0.0,0
230,0.1,460461,0.15,3.25,0.0127,0.0019,74.9419,0.0,0
231,0.1,462463,0.12,3.32,0.0422,0.0041,71.4383,0.0,0
